Name: Pressure reduced to MSL, Level: 0 meanSea, Units: Pa, Forecast Hour: 0
Name: Specific humidity, Level: 20 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 20 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 20 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 20 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 20 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 20 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 20 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 30 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 30 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 30 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 30 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 30 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 30 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 30 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 30 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 30 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 30 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 40 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 40 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 40 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 40 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 40 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 40 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 40 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 40 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 40 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 40 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 50 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 50 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 50 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 50 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 50 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 50 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 50 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 50 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 50 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 50 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 50 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 50 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 50 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 50 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 50 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 50 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 70 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 70 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 70 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 70 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 70 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 70 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 70 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 70 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 70 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 70 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 100 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 100 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 100 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 100 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 100 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 100 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 100 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 100 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 100 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 100 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 100 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 100 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 100 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 100 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 100 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 100 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 150 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 150 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 150 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 150 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 150 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 150 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 150 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 150 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 150 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 150 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 150 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 150 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 150 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 150 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 150 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 150 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 200 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 200 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 200 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 200 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 200 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 200 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 200 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 200 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 200 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 200 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 200 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 200 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 200 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 200 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 200 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 200 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 250 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 250 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 250 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 250 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 250 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 250 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 250 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 250 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 250 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 250 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 250 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 250 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 250 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 250 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 250 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 250 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 300 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 300 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 300 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 300 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 300 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 300 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 300 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 300 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 300 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 300 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 300 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 300 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 300 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 300 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 300 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 300 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 350 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 350 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 350 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 350 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 350 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 350 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 350 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
